@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
787,13.572905,2,1,1,0,FALSE
763,13.47929,2,1,1,0,FALSE
765,13.330729,2,1,1,0,FALSE
804,14.539799,2,1,1,0,FALSE
793,38.725361,2,1,1,0,FALSE
797,38.975376,2,1,1,0,FALSE
751,37.168541,2,1,1,0,FALSE
792,13.118536,2,1,1,0,FALSE
770,12.191681,4,1,0,1,FALSE
799,14.211863,4,1,0,1,FALSE
797,13.690781,4,1,0,1,FALSE
779,36.172688,4,1,0,1,FALSE
740,12.688091,4,1,0,1,FALSE
777,13.439339,4,1,0,1,FALSE
769,13.158161,4,1,0,1,FALSE
736,33.601334,4,1,0,1,FALSE
798,37.158859,4,1,0,1,FALSE
799,14.369965,4,1,0,1,FALSE
778,37.529869,4,1,0,1,FALSE
754,12.652115,4,1,0,1,FALSE
751,37.864014,4,1,0,1,FALSE
783,36.770809,4,1,0,1,FALSE
779,14.381104,4,1,0,1,FALSE
785,36.472248,4,1,0,1,FALSE
744,11.9613,4,1,0,1,FALSE
763,13.321766,4,1,0,1,FALSE
777,11.30426,4,1,0,1,FALSE
787,14.214119,4,1,0,1,FALSE
764,13.088396,1,1,0,0,FALSE
724,13.221996,1,1,0,0,FALSE
761,35.268272,1,1,0,0,FALSE
761,12.866179,1,1,0,0,FALSE
744,34.74839,1,1,0,0,FALSE
774,36.015858,1,1,0,0,FALSE
740,12.555717,1,1,0,0,FALSE
776,13.85046,1,1,0,0,FALSE
771,13.274099,1,1,0,0,FALSE
759,11.209518,1,1,0,0,FALSE
778,34.959976,1,1,0,0,FALSE
767,13.413822,1,1,0,0,FALSE
758,13.575941,1,1,0,0,FALSE
792,14.172102,1,1,0,0,FALSE
773,12.153627,1,1,0,0,FALSE
793,35.69381,1,1,0,0,TRUE
