@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
3139,30.316933,2,0,0,FALSE
3158,31.590683,2,0,0,FALSE
3157,31.979942,2,0,0,FALSE
3099,30.46534,2,0,0,FALSE
3197,31.811478,2,0,0,FALSE
3150,31.61739,2,0,0,FALSE
3104,30.931225,2,0,0,FALSE
3150,31.959579,2,0,0,FALSE
3145,31.575336,2,0,0,FALSE
3082,29.900736,2,0,0,FALSE
3109,32.647316,2,0,0,FALSE
3076,30.431694,2,0,0,FALSE
3052,65.737503,2,0,0,FALSE
3140,30.001019,2,0,0,FALSE
3046,29.104908,4,1,1,TRUE
3203,32.355148,4,1,1,TRUE
3058,30.206158,4,1,1,FALSE
3185,31.822395,4,1,1,TRUE
3149,68.454521,4,1,1,TRUE
3186,31.883411,4,1,1,FALSE
3103,31.228916,4,1,1,FALSE
3162,67.939507,4,1,1,TRUE
3124,67.79892,4,1,1,TRUE
3164,67.803391,4,1,1,TRUE
3174,32.509472,4,1,1,FALSE
3143,30.980347,4,1,1,FALSE
3090,30.88649,4,1,1,TRUE
3120,31.482208,4,1,1,FALSE
3148,31.550886,4,1,1,TRUE
3143,31.234581,4,1,1,TRUE
3114,67.555054,4,1,1,TRUE
3149,31.065338,4,1,1,TRUE
3067,30.513397,4,1,1,TRUE
3154,71.242783,4,1,1,TRUE
3172,29.629864,4,1,0,FALSE
3145,30.098827,4,1,0,FALSE
3036,65.746323,4,1,0,FALSE
3173,32.707947,4,1,0,FALSE
3090,27.764851,4,1,0,FALSE
3068,29.835281,4,1,0,FALSE
3089,31.074333,4,1,0,FALSE
3038,29.89249,4,1,0,FALSE
3127,30.911674,4,1,0,FALSE
3079,67.470535,4,1,0,FALSE
3139,31.164364,4,1,0,FALSE
3121,69.300873,4,1,0,FALSE
3134,28.514145,4,1,0,FALSE
3119,31.406126,4,1,0,FALSE
3135,67.768105,4,1,0,FALSE
3168,31.604309,4,1,0,FALSE
3090,30.461884,4,1,0,FALSE
3128,30.630226,4,1,0,FALSE
3072,30.506424,4,1,0,FALSE
3074,30.556995,4,1,0,FALSE
3190,70.396637,1,1,1,FALSE
3049,29.651588,1,1,1,TRUE
3136,73.052658,1,1,1,FALSE
3154,31.212437,1,1,1,TRUE
3128,68.524643,1,1,1,FALSE
3116,31.697975,1,1,1,FALSE
3056,30.138542,1,1,1,FALSE
3120,31.378139,1,1,1,FALSE
3077,66.916679,1,1,1,FALSE
3187,67.973099,1,1,1,FALSE
3146,31.977993,1,1,1,FALSE
3134,31.709835,1,1,1,FALSE
3156,29.826996,1,1,1,TRUE
3111,31.691849,1,1,1,FALSE
3134,32.784805,1,1,1,FALSE
3098,30.79583,1,1,1,FALSE
3096,29.949692,1,1,1,FALSE
